frame_index,area,perimeter,centroid_x,centroid_y,solidity,non_compactness,circularity,eccentricity,orientation_deg
0,3320.0,239.05382251739502,100.45,92.2183734939759,0.981377475613361,17.212870500053675,0.7300566523358197,0.8486244742725398,7.644912044881892
1,3325.0,240.4680358171463,102.49834586466166,91.87278195488722,0.9674134419551935,17.390940225490635,0.7225814390380179,0.8495264969849478,7.143563206325889
2,3330.0,241.0538227558136,105.6960960960961,91.8912912912913,0.9782608695652174,17.44953317273009,0.7201551176164265,0.8493742937758014,4.084036570433759
3,3303.0,239.982754945755,108.66273085074175,90.99818346957312,0.9708994708994709,17.4361860948696,0.720706383035031,0.855709370588223,1.7788780976378429
4,3368.0,236.66904664039612,110.92339667458432,91.17161520190024,1.0011890606420928,16.630711887670426,0.7556123092767635,0.8517804483491564,-1.3592812532742362
5,3368.0,236.66904652118683,113.67220902612827,90.41805225653206,1.0001484780994803,16.630711870916773,0.7556123100379615,0.8534360478869778,-2.253854345091087
6,3522.0,244.22539567947388,117.00312322544009,90.83872799545712,0.988492843109739,16.935276517545592,0.742023349978368,0.8460144491219166,-4.580555965899699
7,3520.0,245.982754945755,120.76136363636364,91.57727272727273,0.9914096606111815,17.189635150767998,0.731043474986014,0.8464014251429961,-7.550096328882804
8,3606.0,250.12489020824432,123.87853577371048,93.2179700499168,0.9825613079019073,17.34954539702892,0.7243054689208827,0.8421317184835053,-8.594086644184896
9,3599.0,247.53910374641418,127.61544873575993,94.23089747151987,0.9876509330406147,17.02573155976049,0.7380810962660302,0.8426862779681629,-10.470428367783292
10,3619.0,249.68123948574066,130.72147001934235,95.8076816800221,0.9886627509903019,17.22595229376507,0.729502230126782,0.8458450417400611,-12.577397273148934
11,3685.0,251.92387998104095,134.65644504748983,97.17503392130257,0.9925925925925926,17.222697776038515,0.7296400818135723,0.8442154084802977,-14.281096288463312
12,3694.0,252.99494755268097,138.54737412019492,98.3613968597726,0.995016835016835,17.327136840060582,0.725242186886038,0.8432399974180168,-16.157222342796246
13,3666.0,257.1370828151703,142.83469721767594,100.02045826513911,0.9877408056042032,18.035864527740245,0.6967434577384044,0.8449458086397154,-18.558720969188563
14,3702.0,255.9655100107193,147.16207455429497,100.8238789843328,0.9905016722408027,17.698093548094988,0.7100409193911064,0.8406542513120324,-20.551016583525684
15,3770.0,257.62236404418945,151.29151193633953,102.67798408488063,0.9885931558935361,17.604584205760446,0.713812406330352,0.8408167571521054,-22.86712626200995
16,3790.0,256.45079135894775,156.04353562005278,103.19445910290237,0.9925363362576928,17.352772661907796,0.7241707627475829,0.837340052293088,-24.007102588294643
17,3782.0,258.9360717535019,160.56028556319407,104.78741406663141,0.9857943438029454,17.72815686280663,0.7088368357526891,0.8405277358437905,-25.70452484251539
18,3900.0,262.2497808933258,165.22871794871796,105.56948717948718,0.9839788066103191,17.634601943230102,0.7125973500742038,0.8419014436646647,-26.963979085439412
19,3878.0,261.07820773124695,170.74419804022693,106.18205260443527,0.9871452208221968,17.57654217435795,0.7149512395385703,0.8426116490549723,-29.052025440825595
20,3872.0,261.0782073736191,175.48372933884298,107.46151859504133,0.9888903077512451,17.60377850346654,0.7138450766058321,0.8440668454260549,-30.83711295743926
21,3844.0,260.6345565319061,180.46175858480748,108.394901144641,0.989573947741022,17.67179293927767,0.7110976604093698,0.8470207596055084,-32.35749735294344
22,3898.0,262.14927446842194,184.37326834273986,109.405849153412,0.9862112586970272,17.630128810754236,0.7127781509284145,0.8472339491709634,-33.19262501576582
23,3917.0,262.8771983385086,189.60224661730916,109.91345417411284,0.986277225229762,17.642180599005258,0.7122912354194878,0.8468114495612722,-35.2749519741886
24,3861.0,261.36247873306274,194.42191142191143,111.51282051282051,0.9852003062005613,17.69239712237521,0.7102695314512664,0.8560197162708499,-37.114831506644435
25,3892.0,263.1198377609253,199.20118191161356,112.63643371017471,0.9817127002144028,17.788296254711113,0.7064403714903866,0.8544146272437422,-38.442018181056014
26,3837.0,258.77669286727905,204.321866041178,113.48553557466771,0.9857418111753372,17.452534993830096,0.7200312515518059,0.8586611335299933,-39.91667768804405
27,3847.0,260.43354868888855,209.40681050168962,115.05744736158046,0.9918783034678355,17.630785880605067,0.7127515868809309,0.8618442247241763,-41.7372854386236
28,3822.0,262.1909055709839,213.86289900575616,115.7744636316065,0.9794976934905176,17.986413125100103,0.6986590670945259,0.8679132031480028,-43.40472383659963
29,3797.0,261.26197373867035,218.61153542270213,116.22939162496708,0.986105700558369,17.976776118468706,0.6990336048880826,0.8656074784718079,-43.530089154389124
30,3822.0,262.433545589447,223.51988487702772,117.11119832548404,0.9732620320855615,18.019718956213595,0.6973677361391928,0.8675708763283668,-45.636075235881556
31,3769.0,260.6761871576309,227.8644202706288,118.63624303528788,0.9744053774560496,18.029205240392734,0.6970008076787213,0.86858710739952,-47.20632794209828
32,3771.0,262.7766910791397,233.10076902678335,120.03076107133387,0.9714064914992272,18.311214366083696,0.6862663700576184,0.8734576487278415,-48.93041956876914
33,3770.0,263.0193325281143,236.5209549071618,120.16737400530504,0.9710238248551192,18.349912276799675,0.6848191111108034,0.8749251377254545,-49.59239919158222
34,3783.0,262.53405153751373,241.64393338620144,120.89822891884748,0.9809412679891093,18.219436483399928,0.6897233416526702,0.8776628353848404,-52.36836570366516
35,3738.0,262.0487699508667,245.5920278223649,121.31032637774211,0.9731840666493101,18.370668227063206,0.6840453738011942,0.8802364673326379,-52.478664654471714
36,3753.0,262.6345567703247,250.0402344790834,122.03250732747135,0.9713989905526077,18.37913946441378,0.6837300864216489,0.8784458064493309,-53.196728906043376
37,3738.0,262.04876959323883,254.41385767790263,121.82182985553771,0.9826498422712934,18.370668176920912,0.6840453756682795,0.8828091912957171,-54.2704923538092
38,3659.0,261.2203426361084,258.4044820989341,122.42306641158787,0.9598635886673662,18.64882957281385,0.6738423215941848,0.8815614774883096,-55.8324431626516
39,3671.0,262.3919155597687,262.4619994551893,122.35957504767093,0.9586107846977412,18.754976123978416,0.6700286116756473,0.8860575096999219,-56.60526357963463
40,3633.0,260.14927566051483,265.87916322598403,121.96944673823286,0.9532930989241669,18.62858398752836,0.6745746548837113,0.8870238511382713,-57.85228677913587
41,3664.0,260.7350616455078,270.1241812227074,122.50054585152839,0.9587858170875311,18.55425010133372,0.6772772031059273,0.8873842779773933,-58.15040375423025
42,3666.0,261.66399371623993,273.4405346426623,122.27823240589198,0.9561815336463224,18.676499074613325,0.6728440145102165,0.8874226500522457,-58.46248783175921
43,3685.0,263.0782083272934,277.16336499321574,122.69687924016283,0.9465707680452093,18.78158580643115,0.6690793175758474,0.8857824321451324,-59.63744787179266
44,3662.0,261.6639941930771,281.4134352812671,123.11004915346805,0.9469873286785622,18.696899469436016,0.6721098669274833,0.8890941768859284,-60.591195855838514
45,3673.0,260.00714099407196,285.4769942826028,123.91315001361285,0.9631572046676281,18.405584908225215,0.6827476919108083,0.8879879418960097,-62.00881740442338
46,3707.0,267.07820785045624,289.4270299433504,123.74912328028056,0.9434970730465767,19.242182117240763,0.6530636981706901,0.8873626471072739,-63.18289887367227
47,3646.0,261.52185904979706,292.51590784421285,125.5279758639605,0.9575837163493106,18.758552594860646,0.6699008652619621,0.8889119578372763,-64.50464166193042
48,3620.0,260.3502869606018,296.3657458563536,125.89060773480664,0.9571655208884188,18.724384508416495,0.6711232942642609,0.8876515373714837,-64.50567835866066
49,3541.0,257.62236416339874,300.8167184411183,126.28014685117199,0.9587112494923514,18.743090233589054,0.6704535088797297,0.8939010910274557,-66.83257539310496
50,3522.0,255.96551024913788,302.4488926746167,126.24219193639978,0.9633479212253829,18.60259580837635,0.6755170484702357,0.88965242618645,-66.96767690904126
