frame_index,hog_0_deg,hog_45_deg,hog_90_deg,hog_135_deg
0,0.36063633867303185,0.45013276649482203,0.4896232755504955,0.3086177131762958
1,0.3479795179016283,0.4459739407657718,0.5059516906399868,0.34427164398312227
2,0.35543578066120496,0.4381200239069513,0.5050913662771344,0.32349350824060874
3,0.38116265625738327,0.40402086706069196,0.4981168131575421,0.3399085204407883
4,0.35831284214566045,0.4712792561896449,0.5324090501357899,0.387846136043781
5,0.35693774093568703,0.462650855323995,0.537278878292645,0.39213057435630677
6,0.31676077017393683,0.38655053186476546,0.46392892525908375,0.36392433823222653
7,0.3155638980536739,0.40647966202745384,0.4491683086070315,0.3924765819691537
8,0.30685101438836376,0.3415551282824545,0.43794484196928213,0.34571444438504934
9,0.3246945314646501,0.34164300757293314,0.4069422788728427,0.3719164468476403
10,0.304238316981208,0.3481848719949738,0.39767067068315226,0.37636839653030046
11,0.28188219552514565,0.33537412496171387,0.42366096356303395,0.3716444446881584
12,0.2930913097060664,0.3142308200490966,0.4300658456359323,0.37164241508781043
13,0.2805971969927581,0.2888648943188167,0.3860252452095924,0.33996729884351246
14,0.3026334483837974,0.29131090090757694,0.3719294867695924,0.33033243731741285
15,0.28937687737753687,0.3061835421375879,0.3634850469055379,0.32685178156718464
16,0.2840029283019736,0.30076432092138145,0.3802524816259388,0.3228440069579334
17,0.26458765073808477,0.26585533110929427,0.3519209865148554,0.30540878016873724
18,0.2569330319261785,0.29053100281424477,0.3440562374800315,0.3005917898046324
19,0.27168306117593505,0.2866159492918979,0.34144119382801535,0.3061065744352233
20,0.28945428543596313,0.2836411795484688,0.34966994159178405,0.29800007650085936
21,0.2823845746596821,0.2671653218505201,0.3379119464230465,0.31319865488568327
22,0.29907481653592066,0.2559709822218718,0.3481649057023414,0.3229841990790813
23,0.26192562816160886,0.2408768836013907,0.3276560035637476,0.3055886964069331
24,0.2630460160573009,0.22793827157880464,0.315408367695592,0.3065613396127169
25,0.25663085239609645,0.2233687560257115,0.3258574277738253,0.3248941006790229
26,0.263441412741844,0.23231090580896235,0.3151624204000657,0.312120730113722
27,0.247573617987048,0.23067864777989947,0.33377249387966845,0.3094893747635879
28,0.268663666361541,0.24429145191356036,0.3452063369888127,0.32622230548495457
29,0.24452852322795776,0.2194521693488046,0.3357952841740438,0.30339316737221167
30,0.2495756818812589,0.2284109743930552,0.33621206967124256,0.29304509427139747
31,0.2611808154785771,0.2268717828008773,0.3260177862804656,0.2825003023021869
32,0.2572608109256479,0.22985841146396305,0.3216111142177642,0.28854381750555813
33,0.2682913624226367,0.22994916567630438,0.3295307347032342,0.2716077839410387
34,0.2564906662187059,0.22271373092992525,0.32607281404753086,0.2836516788146577
35,0.26414600013015915,0.22694844075292175,0.32101953434640595,0.28476283636362165
36,0.2959172373036775,0.22797847518982234,0.32991983275381337,0.31166235598643943
37,0.2981049983102787,0.23818459451222473,0.3418559467140387,0.3035745167412349
38,0.29982026345786694,0.2348016712430711,0.32556130201959566,0.30410554283011476
39,0.289306130191548,0.23018107187651476,0.32261809950040277,0.3076626417716463
40,0.28095130461947043,0.24674317824465594,0.32996683353312284,0.2956656622851505
41,0.286395017506033,0.22887470514187028,0.33973519559165316,0.3038468551725042
42,0.30292283628183836,0.23785516600253512,0.33177659192611025,0.30725865434136707
43,0.31982075763515827,0.24619009119016794,0.33196287706763583,0.28755619561354107
44,0.29577368517997077,0.2606312730224941,0.3079248077805988,0.298593301527229
45,0.31426764134889373,0.23607713369943187,0.3188948004590353,0.2920323749970636
46,0.29161830922224835,0.23020925065012282,0.3192686359666402,0.27849045127579863
47,0.3231977493965505,0.25278952523802434,0.34193511394957765,0.3343028037674074
48,0.33375195690868714,0.24259435684866457,0.331692129587899,0.33136089961962506
49,0.3197410027016352,0.2537772786908286,0.31673679011860106,0.3410039895339948
50,0.3477735262547275,0.24459019715294328,0.32477373817041016,0.320311878288204
