frame_index,pred_x,pred_y,gt_x,gt_y,translation_error,pred_theta,gt_theta,rotation_error
41,270.28471830525376,122.43903239419376,270.1241812227074,122.5005458515284,0.17191876077307972,-58.868759551083336,-58.15040375423025,0.7183557968530891
42,274.26517170644587,122.50102484343671,273.4405346426623,122.27823240589198,0.8542029953077083,-59.93760571603021,-58.46248783175921,1.4751178842710004
43,278.245625107638,122.56301729267966,277.16336499321574,122.69687924016284,1.0905072105461895,-61.00645188097709,-59.63744787179266,1.3690040091844295
44,282.2260785088301,122.62500974192261,281.4134352812671,123.11004915346804,0.9463890563908416,-62.075298045923965,-60.591195855838514,1.4841021900854514
45,286.2065319100222,122.68700219116556,285.4769942826028,123.91315001361284,1.4267668458136125,-63.14414421087084,-62.00881740442338,1.135326806447459
46,290.1869853112143,122.74899464040851,289.4270299433504,123.74912328028056,1.2561008946089618,-64.21299037581771,-63.18289887367227,1.0300915021454387
47,294.1674387124064,122.81098708965146,292.51590784421285,125.5279758639605,3.1795569201254343,-65.28183654076459,-64.50464166193042,0.777194878834166
48,298.1478921135985,122.87297953889441,296.3657458563536,125.89060773480664,3.504586310961178,-66.35068270571146,-64.50567835866066,1.8450043470508035
49,302.1283455147906,122.93497198813736,300.8167184411183,126.280146851172,3.593126833924597,-67.41952887065834,-66.83257539310496,0.5869534775533793
50,306.10879891598273,122.99696443738031,302.4488926746167,126.24219193639978,4.891463504512975,-68.48837503560522,-66.96767690904126,1.520698126563957
